,Amp1,Lifet1,Amp2,Lifet2,Amp3,Lifet3,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,1849.09,3.13,8130.07,0.06,1997.02,1.19,1.24,-6.46,-26.51,1.00,2.42,0.73
cell 2,966.59,3.01,1984.60,0.06,745.72,1.02,0.54,-11.08,-26.49,0.93,2.51,1.02
cell 3,1253.43,3.19,4767.27,0.05,1488.04,1.22,1.04,-3.05,-27.49,0.96,2.49,0.80
cell 4,363.25,3.14,4690.70,0.04,276.40,1.24,0.22,-0.16,-34.50,0.72,2.40,0.31
cell 5,876.87,3.31,1537.51,0.08,809.13,1.34,0.65,-2.70,-27.47,0.86,2.69,1.28
cell 6,1121.87,1.32,1276.40,3.26,4725.96,0.07,1.42,-0.15,-30.50,0.97,2.61,0.84
cell 7,1225.11,1.10,3733.64,0.06,1269.37,3.09,0.94,-3.08,-28.88,0.97,2.47,0.88
cell 8,724.45,1.02,1561.91,0.06,979.73,3.11,0.44,-11.64,-26.49,0.92,2.63,1.19
cell 9,3903.75,0.05,515.63,1.13,697.36,2.99,0.59,-3.25,-28.52,0.79,2.40,0.56
cell 10,1751.77,1.14,5423.96,0.07,1701.76,3.08,0.63,-6.95,-28.52,1.05,2.42,0.86
cell 11,2745.81,1.38,2413.59,3.34,3267.73,0.14,1.66,-2.49,-30.93,0.96,2.62,1.46
cell 12,1938.52,3.06,1987.97,1.14,5280.62,0.05,1.11,-6.11,-29.50,1.01,2.46,0.92
cell 13,4346.71,3.24,5648.06,1.34,10992.42,0.12,2.15,-7.14,-29.51,1.34,2.44,1.09
cell 14,5375.12,0.09,2432.51,1.23,2154.64,3.18,1.35,-3.32,-29.52,1.03,2.47,1.04
cell 15,1041.93,1.31,958.31,3.27,4239.22,0.06,0.28,-6.96,-28.52,0.90,2.53,0.76
cell 16,1230.39,1.11,1240.46,3.08,3123.28,0.05,0.70,-0.14,-30.49,0.92,2.50,0.95
cell 17,1811.36,1.90,983.82,3.60,1341.31,0.56,1.00,-0.11,-28.70,0.91,2.55,1.87
cell 18,1282.25,3.20,1409.64,0.19,1406.44,1.39,0.91,-1.33,-29.50,0.92,2.51,1.54
cell 19,1890.73,3.09,2037.10,1.18,7691.06,0.03,1.16,-6.04,-37.48,0.92,2.47,0.73
cell 20,995.50,3.14,3370.67,0.05,971.36,1.26,0.94,0.84,-36.47,0.84,2.53,0.84
cell 21,2387.76,1.17,2201.27,3.13,5333.86,0.07,1.43,-3.25,-38.49,0.92,2.47,1.01
