,Amp1,Lifet1,Amp2,Lifet2,Amp3,Lifet3,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,2614.82,0.04,885.33,3.22,762.77,1.22,0.56,-4.60,-21.48,0.88,2.66,0.91
cell 2,2193.04,0.11,1329.42,3.34,1644.93,1.31,0.70,-5.95,-20.49,0.92,2.59,1.32
cell 3,1485.89,3.23,1504.17,1.24,5114.59,0.05,0.75,-4.80,-31.49,0.96,2.58,0.85
cell 4,993.45,3.09,2311.00,0.01,926.97,0.99,0.40,-8.26,-29.50,0.79,2.59,0.95
cell 5,3585.63,1.48,3035.21,0.25,3093.83,3.32,2.25,-2.13,-33.53,0.95,2.58,1.68
cell 6,4487.77,0.03,1586.49,1.27,1222.22,3.28,1.30,-0.76,-28.50,0.97,2.55,0.84
cell 7,1395.11,1.18,1438.18,3.18,4911.24,0.04,1.04,-1.35,-30.45,1.05,2.57,0.83
cell 8,3218.38,0.04,993.37,1.28,823.59,3.20,0.61,-1.20,-36.50,0.81,2.50,0.80
cell 9,591.49,3.12,456.75,1.13,2329.49,0.04,0.53,-4.82,-34.47,0.85,2.59,0.72
cell 10,2039.74,1.17,1703.54,3.16,4567.55,0.02,1.36,-0.56,-37.50,1.04,2.51,0.95
cell 11,319.45,1.23,279.88,3.47,637.83,0.10,0.31,-15.08,-13.97,0.78,2.70,1.16
cell 12,1054.86,3.33,1321.07,1.55,981.35,0.33,1.09,-2.31,-16.18,0.86,2.55,1.75
cell 13,1991.10,3.70,3806.41,1.53,6255.96,0.15,3.24,-13.34,-30.50,1.18,2.57,1.17
cell 14,3145.76,0.16,1968.86,3.24,2254.70,1.21,1.42,-9.08,-30.49,0.98,2.50,1.30
cell 15,2915.06,3.60,3451.38,1.43,10547.39,0.08,4.08,-20.87,-31.50,1.33,2.76,0.96
cell 16,1533.29,0.88,-19088.54,3.02,20638.53,3.02,0.52,-8.34,-25.66,1.11,2.57,1.98
cell 17,2171.50,3.29,3095.13,0.21,2763.33,1.37,1.95,-1.91,-27.56,0.92,2.49,1.44
cell 18,3845.79,1.42,2784.79,0.19,2960.65,3.34,1.75,-5.12,-29.50,0.92,2.58,1.66
cell 19,831.18,3.31,857.23,1.32,2052.38,0.07,0.89,-3.83,-26.50,0.96,2.63,1.07
cell 20,2792.12,3.39,17032.82,0.03,3260.95,1.35,2.33,-3.05,-28.46,1.08,2.66,0.62
cell 21,1489.73,2.44,1362.00,0.57,152.70,4.97,0.56,-1.06,-24.52,1.00,2.53,1.72
cell 22,2083.24,1.21,4570.88,0.08,1767.44,3.19,1.48,-1.71,-27.50,0.90,2.47,1.01
cell 23,3007.28,3.49,4881.47,1.65,3840.93,0.38,2.39,-5.56,-17.42,1.07,2.52,1.70
cell 24,1739.65,1.60,1156.01,3.41,1787.94,0.25,0.74,-4.24,-31.49,0.84,2.51,1.53
cell 25,1285.51,3.30,5355.45,0.06,1834.21,1.34,1.70,1.23,-30.49,0.96,2.47,0.83
cell 26,21572.99,0.98,2585.94,3.05,-18801.00,0.98,1.60,-3.23,-32.66,1.03,2.52,1.98
cell 27,468.74,1.05,468.22,3.06,754.97,0.10,0.65,1.26,-28.49,0.74,2.46,1.18
cell 28,1952.77,3.44,2694.39,1.59,2901.08,0.34,0.81,-6.94,-21.77,1.08,2.52,1.59
cell 29,3297.40,1.13,12539.46,0.02,3035.68,3.15,1.63,-6.58,-22.50,1.02,2.53,0.72
cell 30,4045.40,0.06,1669.40,1.27,1366.87,3.33,0.98,-4.73,-20.50,1.00,2.58,0.98
cell 31,1094.91,3.23,1241.38,0.35,1049.65,1.42,0.70,-4.06,-21.52,0.88,2.51,1.61
cell 32,1488.12,1.35,1379.10,3.36,3048.87,0.07,1.30,-0.35,-21.48,0.86,2.67,1.16
cell 33,1313.79,3.36,1554.81,1.34,10059.65,0.01,0.75,-5.79,-22.49,0.90,2.66,0.51
cell 34,2510.80,1.22,8139.10,0.03,2233.15,3.22,1.17,-4.64,-23.47,0.91,2.56,0.81
cell 35,8264.76,0.03,1954.43,1.29,1680.97,3.26,1.05,-4.00,-29.49,0.97,2.56,0.69
cell 36,2701.66,3.25,2951.61,1.37,3384.45,0.19,1.65,-4.37,-29.79,1.01,2.54,1.49
cell 37,11742.26,0.04,2587.49,3.31,2902.16,1.35,1.81,-3.07,-30.46,0.98,2.61,0.75
cell 38,2168.08,0.11,1757.12,3.24,1777.14,1.26,1.00,-3.89,-29.47,0.90,2.61,1.43
cell 39,3104.57,1.35,4791.27,0.12,2668.41,3.26,1.79,-4.20,-29.51,1.00,2.54,1.27
cell 40,2137.04,0.21,2164.44,3.31,2595.53,1.40,1.26,-2.91,-29.51,0.95,2.57,1.63
cell 41,2191.48,0.45,1001.33,3.86,2731.37,2.11,1.12,-3.53,-26.50,1.03,2.60,1.79
cell 42,2794.56,1.37,2117.19,3.27,5158.48,0.16,1.55,-4.68,-27.52,1.03,2.42,1.15
cell 43,662.87,3.34,2156.65,0.02,659.97,1.16,0.23,-7.87,-18.50,0.86,2.74,0.87
cell 44,584.98,0.52,134.37,4.21,703.38,2.31,0.15,-10.43,-17.16,0.73,2.53,1.75
cell 45,453.02,0.32,497.84,1.33,461.58,3.32,0.09,-17.16,-16.49,0.82,2.57,1.65
cell 46,2164.23,0.01,236.86,0.98,357.49,3.10,0.31,-14.59,-18.45,0.71,2.68,0.50
cell 47,2133.89,3.17,2807.64,1.08,6149.38,0.02,1.86,-0.39,-20.50,0.98,2.49,0.90
cell 48,1303.86,1.31,1212.83,3.16,1435.63,0.27,0.30,-9.78,-18.74,0.93,2.43,1.50
cell 49,2306.09,1.51,1988.79,0.34,1680.86,3.35,1.11,-3.47,-20.15,0.92,2.49,1.64
cell 50,1719.86,1.21,1645.83,3.15,2627.90,0.11,1.36,-3.32,-26.50,0.87,2.50,1.26
cell 51,1559.61,0.28,1989.18,3.22,2578.46,1.43,1.63,-0.99,-29.25,0.95,2.47,1.72
