,Amp1,Lifet1,Amp2,Lifet2,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp,,,,
cell 1,1046.39,0.92,973.83,3.02,0.5,-7.19,-23.49,0.89,2.50,1.93,,,,
cell 2,2387.79,0.89,2422.52,3.04,1.04,-6.97,-24.42,1.12,2.56,1.97,,,,
cell 3,609.38,0.63,559.27,2.99,0.59,-16.91,-21.51,0.98,2.55,1.76,,,,
cell 4,1494.67,2.98,1594.29,0.83,0.48,-7.7,-23.83,1.00,2.48,1.87,,,,
cell 5,482.38,2.89,426.15,0.55,0.09,-26.21,-22.46,0.89,2.56,1.80,,,,
cell 6,2231.51,3.02,2365.23,0.88,1.17,-7.07,-23.59,1.11,2.52,1.92,,,,
cell 7,1760.24,3.12,1780.56,1.02,1.46,-2.61,-25.48,0.91,2.59,2.06,,,,
cell 8,1590.59,3.20,1494.51,1.01,0.56,-7.75,-25.69,1.03,2.7,2.14,,,,
cell 9,1468.07,3.10,1554.92,0.78,0.29,-11.31,-23.44,1.01,2.61,1.90,,,,
cell 10,2358.78,3.28,2006.54,1.01,1.18,-5.53,-25.49,1.02,2.81,2.24,,,,
cell 11,1172.14,3.00,1116.13,0.78,-0.04,-15.66,-23.63,0.94,2.56,1.91,,,,
cell 12,2338.94,1.00,2321.53,3.16,1.1,-5.41,-25.64,1.08,2.64,2.07,,,,
cell 13,929.57,0.85,1032.04,3.07,0.37,-6.66,-26.52,0.75,2.63,2.02,,,,
cell 14,1070.24,0.97,1070.10,3.16,0.37,-6.61,-24.57,0.84,2.64,2.06,,,,
cell 15,590.03,2.92,532.95,0.64,0.28,-10.9,-22.91,0.79,2.54,1.84,,,,
cell 16,5231.05,0.88,4559.41,3.05,2.06,-6.83,-25.19,1.56,2.51,1.89,,,,
cell 17,558.63,3.03,425.99,0.85,0.34,-7,-23.49,0.81,2.64,2.08,,,,
cell 18,603.85,0.79,763.54,3.09,0.29,-11.29,-23.13,0.84,2.7,2.08,,,,
cell 19,830.78,3.11,848.51,0.96,0.26,-11.73,-22.5,0.84,2.59,2.02,,,,
cell 20,3065.11,3.07,3150.59,0.92,0.63,-9.41,-24.94,1.33,2.56,1.98,,,,
cell 21,3544.23,3.03,3788.38,0.88,0.59,-11.14,-24.74,1.44,2.52,1.92,,,,
cell 22,500.21,0.75,572.10,3.00,-0.07,-25.82,-22.21,0.94,2.59,1.95,,,,
cell 23,1610.13,3.02,1842.53,0.93,0.57,-7.48,-24.88,1.02,2.48,1.90,,,,
cell 24,1715.13,3.19,1538.18,0.97,0.65,-7.09,-25.38,1.04,2.71,2.14,,,,
cell 25,966.17,0.88,1075.00,3.02,0.09,-15.18,-23.81,0.99,2.58,2.01,,,,
cell 26,1378.38,0.76,1315.53,2.99,0.65,-9.16,-23.29,1.04,2.52,1.85,,,,
cell 27,704.52,2.98,593.72,0.86,0.39,-9.11,-24.82,0.79,2.56,2.01,,,,
cell 28,1415.33,3.14,1376.46,0.97,0.43,-7.39,-24.68,0.90,2.63,2.07,,,,
cell 29,1562.38,3.10,1449.91,0.93,0.43,-8.98,-24.65,1.00,2.63,2.05,,,,
cell 30,3238.26,1.04,2889.64,3.12,2.28,-1.32,-27.7,0.89,2.55,2.02,,,,
cell 31,1367.28,2.98,1364.53,0.80,0.52,-10.4,-24.64,1.07,2.52,1.89,,,,
cell 32,684.24,0.90,810.15,3.17,0.29,-11.44,-23.95,0.95,2.73,2.13,,,,
cell 33,833.01,1.00,986.99,3.17,0.47,-5.71,-25.5,0.87,2.72,2.18,,,,
cell 34,1886.82,1.11,2047.69,3.23,1.12,-4.04,-27.36,0.88,2.72,2.21,,,,
cell 35,1040.30,2.98,1055.83,0.65,0.53,-9.88,-29.5,1.04,2.56,1.80,,,,
cell 36,1398.34,3.13,1216.73,0.84,0.39,-7.77,-33.09,1.03,2.7,2.06,,,,
cell 37,809.98,0.58,898.84,2.96,0.31,-10.83,-29.51,0.94,2.6,1.83,,,,
cell 38,315.44,0.61,415.35,3.07,0.09,-0.25,-36.5,0.85,2.75,2.01,,,,
cell 39,1650.89,2.98,1530.54,0.60,0.37,-16.94,-29.52,1.41,2.61,1.83,,,,
cell 40,820.66,0.63,866.78,2.94,0.07,-13.9,-31.33,0.93,2.55,1.81,,,,
cell 41,796.06,0.46,815.15,2.82,0.05,-17.46,-30.1,0.96,2.5,1.65,,,,
cell 42,774.10,2.92,735.76,0.70,0.06,-14.05,-29.65,0.94,2.51,1.84,,,,
cell 43,576.51,2.89,554.26,0.46,0.27,-3.73,-33.5,0.92,2.57,1.70,,,,
cell 44,662.70,0.31,553.04,2.72,0.17,-22.17,-30.47,0.88,2.43,1.41,,,,
cell 45,772.37,0.53,652.61,2.85,0.17,-19.2,-28.88,0.96,2.43,1.59,,,,
cell 46,392.10,2.92,461.33,0.41,0.08,-5.46,-32.84,0.82,2.56,1.56,,,,
cell 47,500.30,2.86,583.12,0.54,0.16,-16.77,-29.1,0.66,2.45,1.61,,,,
cell 48,1284.04,0.88,1271.01,3.04,0.8,-4.22,-25.5,0.94,2.55,1.95,,,,
cell 49,2179.17,2.96,2104.20,0.86,0.99,-10.76,-26.52,1.19,2.5,1.92,,,,
cell 50,1057.02,0.75,1092.32,2.91,0.21,-12.68,-25.52,0.93,2.47,1.84,,,,
