,Amp1,Lifet1,Amp2,Lifet2,Amp3,Lifet3,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,787.94,3.127,1037.27,0.929,189.63,2.469,0.41,-7.77,-23.50,0.889,2.50,1.93
cell 2,874.51,1.706,2090.60,3.153,1938.83,0.717,1.12,-4.93,-24.49,1.013,2.57,1.93
cell 3,415.66,1.130,762.88,0.128,451.92,3.211,0.71,-7.19,-22.48,0.814,2.58,1.24
cell 4,1215.95,3.146,1231.18,1.306,1342.82,0.206,0.63,-4.82,-24.50,0.883,2.49,1.51
cell 5,286.23,1.029,407.95,3.060,2821.96,0.017,0.19,-16.69,-24.47,0.824,2.59,0.45
cell 6,2039.43,1.400,2429.34,0.156,1665.70,3.276,1.39,-3.14,-24.48,0.927,2.52,1.42
cell 7,1058.50,0.580,1286.47,3.382,1426.15,1.714,1.50,-0.04,-25.64,0.878,2.60,1.96
cell 8,3197.29,0.022,1422.59,1.235,1403.32,3.306,1.04,-2.40,-26.49,0.977,2.71,1.07
cell 9,2610.52,0.067,1321.47,1.056,1282.70,3.238,0.14,-10.97,-24.49,0.894,2.61,1.10
cell 10,1991.80,1.594,1933.84,0.144,1778.39,3.548,1.51,-1.74,-26.23,0.897,2.82,1.71
cell 11,1235.22,0.129,1026.75,3.105,845.92,1.131,0.09,-12.71,-24.49,0.860,2.56,1.38
cell 12,845.81,1.009,236.73,0.000,944.47,3.144,0.62,-2.32,-26.64,0.927,2.67,1.89
cell 13,2091.95,1.412,1868.93,3.343,2172.08,0.150,1.43,-2.10,-26.49,0.951,2.63,1.55
cell 14,930.90,3.276,945.17,1.244,1163.80,0.100,0.50,-3.51,-25.50,0.784,2.64,1.43
cell 15,364.44,1.332,529.92,0.207,459.27,3.153,0.36,-3.18,-23.49,0.761,2.56,1.51
cell 16,382.72,2.614,212.06,3.510,390.91,0.798,0.48,0.17,-23.49,0.816,2.66,2.09
cell 17,4545.67,1.287,3607.36,3.258,9520.38,0.069,2.46,-4.06,-26.50,1.108,2.51,1.03
cell 18,141.82,4.415,788.67,2.514,608.54,0.444,0.34,-3.43,-23.50,0.836,2.73,1.87
