,Amp1,Lifet1,Amp2,Lifet2,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,741.77,0.59,727.70,2.87,0.25,-4.62,-17.24,0.83,2.47,1.72
cell 2,1977.91,1.11,1983.20,3.18,0.80,-9.04,-17.71,1.01,2.64,2.15
cell 3,473.90,0.58,549.64,2.92,0.10,-0.40,-20.51,1.03,2.58,1.84
cell 4,326.50,2.74,384.69,0.30,0.26,-0.60,-20.50,0.84,2.46,1.42
cell 5,317.53,0.39,319.38,2.78,0.22,-9.31,-16.50,0.83,2.49,1.59
cell 6,1593.90,0.97,1524.33,3.13,0.03,-11.47,-15.97,1.07,2.61,2.02
cell 7,2707.82,0.85,2675.20,3.08,0.99,-12.13,-14.50,1.23,2.59,1.96
cell 8,1563.58,1.00,1648.90,3.10,0.99,-5.73,-16.68,0.98,2.60,2.08
cell 9,1047.66,0.82,1005.19,3.10,0.27,-14.60,-12.74,0.93,2.60,1.93
cell 10,3183.87,3.10,3318.93,0.94,1.32,-9.64,-15.94,1.33,2.58,2.00
cell 11,1420.47,3.14,1391.86,1.02,0.47,-9.64,-15.82,1.00,2.63,2.09
cell 12,1175.68,3.08,1072.67,0.88,0.73,-13.35,-13.96,1.08,2.62,2.03
cell 13,809.36,2.83,670.32,0.68,0.09,-26.46,-13.50,0.95,2.47,1.86
cell 14,2721.65,0.92,2785.45,3.04,0.10,-19.72,-15.25,1.27,2.55,1.99
cell 15,1672.67,0.88,1493.16,2.95,0.46,-13.11,-15.80,1.03,2.43,1.86
cell 16,4650.32,0.89,4299.35,3.04,1.59,-17.74,-14.16,1.53,2.52,1.92
cell 17,548.83,0.78,605.92,2.96,0.24,-11.92,-20.11,0.84,2.54,1.92
cell 18,866.00,0.83,1005.40,2.94,0.31,-13.88,-21.66,0.97,2.53,1.97
cell 19,261.94,0.56,270.20,2.84,0.09,-0.52,-19.71,0.72,2.47,1.72
cell 20,292.00,0.34,283.58,2.73,0.26,-0.37,-20.73,0.75,2.46,1.52
cell 21,190.29,0.29,174.37,2.75,-0.05,-0.94,-20.46,0.71,2.50,1.47
cell 22,4465.71,3.26,4767.78,1.25,2.91,-2.93,-20.44,1.13,2.68,2.22
cell 23,5709.91,0.94,5246.46,2.99,2.60,-10.34,-17.51,1.13,2.47,1.92
cell 24,587.33,0.65,604.18,2.90,0.09,-0.30,-21.38,0.94,2.50,1.79
cell 25,839.88,0.62,953.67,2.89,0.28,-0.24,-21.60,0.97,2.52,1.83
cell 26,1235.36,2.95,1075.31,0.86,0.15,-15.75,-15.51,1.01,2.52,1.98
cell 27,1452.14,3.02,1596.22,0.83,0.16,-13.71,-20.17,1.18,2.51,1.87
cell 28,2216.91,0.80,2029.49,2.95,0.58,-16.02,-20.10,1.20,2.46,1.83
cell 29,1034.18,0.78,1083.98,2.94,0.54,-16.18,-12.25,0.95,2.50,1.88
cell 30,2028.01,0.96,1819.04,2.99,1.11,-6.63,-18.34,0.97,2.46,1.92
cell 31,477.45,0.57,481.54,2.82,-0.01,-37.41,-12.78,0.95,2.44,1.70
cell 32,533.65,2.81,457.73,0.56,-0.04,-30.24,-13.78,0.91,2.48,1.77
cell 33,953.66,0.52,871.64,2.91,0.94,-8.82,-15.52,1.05,2.52,1.66
cell 34,4765.43,0.88,4749.35,2.99,0.95,-18.06,-15.87,1.61,2.51,1.93
cell 35,4435.34,2.93,4875.03,0.89,1.98,-9.89,-28.53,1.52,2.42,1.86
cell 36,1465.24,2.91,1411.43,0.76,0.30,-14.58,-31.61,1.10,2.48,1.85
cell 37,3426.65,1.12,3068.91,3.12,1.62,-3.52,-35.51,0.96,2.54,2.06
cell 38,1893.49,0.93,2071.15,3.10,0.81,-7.30,-33.17,1.19,2.63,2.06
cell 39,541.82,0.85,611.96,2.92,0.42,-10.28,-31.49,0.89,2.50,1.95
cell 40,673.99,2.84,581.40,0.63,0.59,-21.31,-29.07,0.93,2.49,1.82
cell 41,373.45,2.78,429.83,0.34,0.26,-6.68,-33.24,0.82,2.47,1.47
cell 42,5380.90,2.98,6069.20,0.87,2.50,-12.18,-27.01,1.63,2.45,1.86
cell 43,4154.77,2.87,4361.92,0.75,1.43,-14.07,-26.47,1.79,2.41,1.79
cell 44,2057.85,0.79,1916.83,2.95,1.02,-7.76,-26.69,1.09,2.46,1.83
cell 45,2542.26,0.92,2558.37,3.04,1.04,-8.09,-28.24,1.20,2.55,1.98
cell 46,610.22,2.90,599.74,0.71,0.19,-13.63,-25.37,0.81,2.47,1.81
cell 47,2963.13,0.87,2572.66,2.97,0.87,-12.61,-26.20,1.34,2.44,1.84
cell 48,3214.47,3.07,3263.55,0.98,1.89,-14.18,-26.50,1.38,2.56,2.01
