,Amp1,Lifet1,Amp2,Lifet2,Amp3,Lifet3,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,735.31,2.85,-88.14,0.44,833.73,0.56,0.55,-2.86,-17.29,0.83,2.46,1.70
cell 2,1855.20,1.28,1776.38,3.27,16608.33,0.01,1.01,-6.01,-19.32,0.95,2.65,0.41
cell 3,515.51,2.97,691.40,0.09,307.01,0.80,0.24,-0.29,-21.49,0.99,2.58,1.21
cell 4,268.95,2.96,759.55,0.09,138.65,1.08,0.32,-0.32,-21.46,0.78,2.49,0.86
cell 5,327.88,2.78,-7.22,3.20,316.72,0.39,0.20,-9.67,-16.50,0.83,2.49,1.59
cell 6,1448.14,1.21,4410.14,0.03,1316.75,3.26,0.35,-5.84,-17.50,0.96,2.61,0.86
cell 7,1255.32,0.18,1463.95,1.46,1272.69,3.33,1.32,0.93,-17.39,0.88,2.61,1.65
cell 8,2068.08,0.41,2377.51,1.85,1455.57,3.63,1.34,-3.22,-14.87,1.11,2.63,1.78
cell 9,856.86,1.09,894.72,3.20,946.56,0.12,0.40,-10.60,-13.48,0.88,2.61,1.45
cell 10,1674.00,3.71,3216.22,1.83,2306.39,0.38,1.53,2.15,-16.33,1.10,2.63,1.81
cell 11,1328.06,1.47,1089.45,3.39,1057.75,0.17,0.74,-2.69,-16.48,0.92,2.64,1.67
cell 12,945.86,1.15,1020.23,3.21,3384.37,0.03,0.98,-4.16,-15.49,1.00,2.63,0.84
cell 13,156.22,4.25,601.44,0.66,737.76,2.36,0.01,-1.07,-13.51,0.84,2.57,1.87
cell 14,2262.94,3.22,2553.35,1.28,5714.22,0.05,0.50,-12.51,-16.50,1.11,2.56,1.03
cell 15,1863.87,0.13,1336.85,3.05,1467.79,1.12,0.69,-8.64,-16.51,0.94,2.41,1.28
cell 16,4047.85,1.12,10608.57,0.04,3798.35,3.14,2.26,-13.14,-15.50,1.19,2.52,0.92
cell 17,570.71,3.00,462.24,0.92,1910.61,0.02,0.40,-6.50,-21.50,0.82,2.55,0.74
cell 18,763.42,1.20,1376.30,0.11,855.13,3.10,0.41,-5.96,-22.51,0.83,2.51,1.24
cell 19,189.50,3.20,785.81,0.06,186.16,1.29,0.27,-0.04,-21.47,0.68,2.52,0.77
cell 20,4.14,0.00,285.09,0.18,178.52,2.71,0.08,-0.80,-20.85,0.71,2.47,1.14
cell 21,494.45,0.29,285.33,2.72,-181.96,0.27,0.30,-0.34,-20.88,0.75,2.45,1.46
cell 22,3757.96,1.63,3918.65,3.37,1906.87,0.77,2.87,-1.91,-20.51,1.10,2.68,2.17
cell 23,2909.13,0.35,4902.88,1.39,4086.90,3.22,2.77,-4.65,-17.76,0.98,2.48,1.76
cell 24,413.01,0.44,253.74,0.99,574.12,2.97,0.14,-0.20,-21.50,0.93,2.52,1.72
cell 25,578.03,1.24,759.40,3.10,1080.54,0.15,0.39,-0.10,-22.50,0.83,2.54,1.33
cell 26,2289.03,0.07,1033.64,3.12,1011.66,1.19,0.37,-7.41,-16.51,0.95,2.50,1.06
cell 27,1349.39,1.14,3400.79,0.06,1230.30,3.17,0.44,-8.63,-21.50,1.06,2.51,0.94
cell 28,1415.53,1.21,1524.62,0.30,1828.11,3.03,0.69,-12.57,-20.50,1.06,2.46,1.62
cell 29,965.81,0.24,764.47,3.26,898.43,1.47,0.74,-7.43,-12.78,0.86,2.51,1.54
