,Amp1,Lifet1,Amp2,Lifet2,Amp3,Lifet3,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,711.53,1.24,934.18,0.14,846.53,3.26,0.39,-7.99,-26.48,0.89,2.68,1.51
cell 2,2302.03,0.19,1896.55,3.38,2365.81,1.40,1.51,-3.13,-26.49,0.98,2.60,1.55
cell 3,1184.36,0.29,1011.03,1.39,1013.63,3.27,0.59,-3.30,-32.49,1.08,2.54,1.58
cell 4,1305.94,3.21,1438.12,1.11,5097.19,0.05,0.66,-9.73,-31.50,1.13,2.53,0.77
cell 5,506.73,1.33,464.31,3.34,502.97,0.24,0.38,-4.24,-30.48,0.87,2.60,1.59
cell 6,1261.78,3.35,1068.47,1.25,3631.69,0.04,1.11,-1.13,-32.49,0.94,2.76,0.96
cell 7,-607.27,1.08,2330.47,1.02,1700.62,3.16,0.84,-7.46,-30.22,1.23,2.64,2.07
cell 8,1175.02,3.40,1549.52,1.45,3425.74,0.08,0.75,-1.24,-34.50,0.93,2.58,1.06
cell 9,4637.49,0.13,3176.03,3.31,3607.03,1.35,1.90,-4.48,-33.48,1.11,2.59,1.40
cell 10,1630.46,3.33,2272.69,1.42,2536.22,0.15,1.16,-2.15,-32.50,0.96,2.51,1.40
cell 11,2287.66,1.28,1769.12,3.18,3843.10,0.09,0.99,-4.67,-32.50,1.01,2.43,1.13
cell 12,3970.91,0.12,2338.69,3.41,2702.72,1.46,1.53,-4.43,-32.49,1.17,2.66,1.37
cell 13,2029.77,0.12,1512.15,3.31,1902.96,1.37,0.75,-3.39,-25.50,1.02,2.57,1.44
cell 14,2863.42,0.05,873.62,1.33,964.00,3.32,0.80,-4.20,-23.46,0.96,2.71,0.96
cell 15,2508.84,0.09,1382.34,3.27,1552.69,1.29,0.91,-5.17,-24.48,0.93,2.57,1.24
cell 16,1231.07,0.22,1312.71,3.27,1314.63,1.46,0.66,-5.49,-26.30,0.88,2.60,1.68
cell 17,1049.34,3.70,1771.00,1.71,1982.02,0.25,0.68,-2.05,-23.50,1.04,2.65,1.54
cell 18,3208.52,0.06,1571.48,3.04,1411.97,1.07,1.00,-5.34,-31.50,0.96,2.49,1.05
cell 19,1466.83,3.12,1559.00,1.21,2572.87,0.09,1.02,-4.11,-31.48,0.94,2.48,1.20
cell 20,2659.55,3.20,2697.82,1.30,3260.33,0.12,1.68,-2.62,-33.50,1.11,2.57,1.44
cell 21,6484.11,2.04,5259.30,0.50,2091.66,3.77,3.66,0.63,-28.50,1.21,2.44,1.71
cell 22,1756.59,1.18,4036.40,0.08,1619.08,3.15,0.70,-9.46,-26.49,0.96,2.47,1.01
cell 23,2539.60,2.24,466.78,4.42,2174.39,0.43,1.57,8.52,-24.49,1.23,2.56,1.68
cell 24,1201.57,1.68,1506.50,0.30,734.88,3.59,1.11,-1.88,-23.49,0.95,2.54,1.48
cell 25,2724.95,1.26,2298.50,3.31,5357.68,0.09,1.68,-4.07,-27.50,1.00,2.57,1.11
cell 26,1782.19,0.33,1929.57,1.91,782.66,3.64,0.91,0.83,-27.49,0.95,2.47,1.58
cell 27,970.16,3.02,903.33,1.00,1884.60,0.06,0.61,-6.33,-25.48,0.91,2.47,1.05
cell 28,1030.80,0.08,331.94,3.21,413.57,1.25,0.44,5.95,-26.50,0.87,2.45,0.94
cell 29,4457.44,0.08,2519.05,1.31,2418.37,3.25,1.25,-5.97,-30.49,0.96,2.60,1.22
cell 30,1500.84,3.15,1522.86,1.19,5659.89,0.04,0.62,-5.33,-27.48,0.89,2.53,0.77
cell 31,524.24,1.59,650.66,0.13,426.48,3.43,0.07,-6.78,-24.49,0.79,2.67,1.49
cell 32,1874.64,3.19,1996.25,1.20,5075.77,0.07,1.62,-2.07,-25.49,0.90,2.53,0.97
cell 33,437.84,0.33,1115.34,3.15,1267.55,1.07,0.06,-9.72,-25.50,1.00,2.51,1.78
cell 34,3759.54,0.17,3184.51,1.38,2902.05,3.29,1.67,-4.64,-26.50,1.12,2.58,1.48
cell 35,1218.85,0.81,1309.37,2.39,540.15,3.75,0.64,-2.89,-27.50,0.79,2.58,2.00
cell 36,1829.76,1.46,3126.28,0.14,1298.45,3.44,1.44,-2.03,-24.48,1.12,2.55,1.21
cell 37,2040.42,3.34,2527.67,1.31,5569.76,0.10,1.93,-5.46,-24.50,1.12,2.55,1.05
cell 38,2736.66,1.47,2368.83,3.44,3360.13,0.18,1.77,-2.70,-27.50,1.04,2.66,1.51
cell 39,4290.18,0.06,1420.49,3.15,1233.24,1.05,0.76,-9.80,-25.49,0.95,2.57,0.87
cell 40,17403.54,0.01,1975.03,3.21,1947.80,1.06,1.38,-4.32,-27.40,0.98,2.61,0.40
cell 41,1806.75,1.46,2171.83,3.45,2209.56,0.15,1.00,-5.70,-27.47,0.97,2.84,1.69
cell 42,887.56,4.27,4238.36,2.26,3338.82,0.52,2.11,0.55,-26.50,1.17,2.57,1.79
cell 43,706.03,3.36,810.35,0.26,891.74,1.58,0.33,-4.57,-26.50,0.88,2.57,1.66
cell 44,373.03,1.20,1275.47,0.06,463.71,3.14,0.24,-8.01,-25.50,0.71,2.58,0.94
cell 45,1243.14,1.45,991.44,3.49,1798.17,0.16,0.67,-3.07,-25.48,0.88,2.65,1.37
cell 46,12692.34,0.02,1994.85,1.14,1816.75,3.29,0.70,-7.69,-27.49,0.91,2.62,0.51
cell 47,914.52,3.16,759.13,1.24,2517.40,0.05,0.68,-5.03,-24.50,0.95,2.60,0.94
cell 48,1346.27,3.79,2215.04,0.60,3300.10,2.13,1.96,-1.19,-26.69,0.88,2.61,1.96
cell 49,1644.40,1.40,5146.46,0.03,1092.06,3.46,0.35,-3.81,-25.50,1.06,2.62,0.79
cell 50,951.04,3.14,812.29,1.08,1977.76,0.06,0.53,-5.16,-25.47,0.94,2.59,1.06
cell 51,,,,,,,,,,,,
