,Amp1,Lifet1,Amp2,Lifet2,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,2455.60,3.08,2588.95,0.87,0.78,-9.34,-25.11,1.13,2.57,1.95
cell 2,2960.30,3.22,3225.15,0.99,1.30,-7.06,-25.23,1.39,2.66,2.06
cell 3,950.54,0.94,1181.17,3.22,0.20,-10.61,-24.14,1.06,2.79,2.21
cell 4,4304.55,1.03,4166.14,3.23,1.64,-8.92,-24.43,1.57,2.69,2.11
cell 5,1308.13,3.05,1063.16,0.86,0.42,-13.01,-23.03,1.12,2.64,2.07
cell 6,5105.95,3.20,4561.53,1.09,2.38,-5.76,-26.49,1.27,2.71,2.21
cell 7,1318.63,3.04,1182.38,0.72,0.57,-13.98,-25.43,1.06,2.63,1.94
cell 8,3832.52,3.14,3740.64,0.99,1.37,-8.03,-29.23,1.40,2.63,2.08
cell 9,2087.78,3.15,2722.71,0.76,1.25,-20.80,-24.37,1.56,2.57,1.80
cell 10,1350.04,3.32,1171.16,1.05,0.44,-11.85,-28.25,1.06,2.83,2.27
cell 11,1939.46,2.93,1991.15,0.49,0.32,-21.50,-31.48,1.79,2.57,1.69
cell 12,4574.05,0.73,4575.42,3.08,2.51,-6.28,-33.45,2.09,2.63,1.90
cell 13,1753.28,0.82,1481.57,3.39,0.49,-21.33,-9.52,1.17,2.82,2.00
cell 14,913.28,0.76,556.12,3.27,0.34,-25.45,-8.62,1.01,2.58,1.71
cell 15,1485.70,1.27,1294.70,3.24,0.58,-7.53,-13.25,0.86,2.63,2.19
cell 16,2330.04,3.32,2064.17,1.05,1.02,-8.37,-29.38,0.99,2.82,2.25
cell 17,3172.21,3.25,4170.11,0.83,1.31,-10.51,-12.50,1.39,2.64,1.88
cell 18,2509.94,3.03,3298.26,0.61,1.23,-27.15,-20.34,1.70,2.52,1.66
cell 19,4511.77,3.23,5337.20,0.87,2.72,-10.58,-21.91,1.68,2.66,1.95
cell 20,4725.33,3.40,4411.69,1.09,3.05,-6.45,-29.51,1.41,2.86,2.28
cell 21,3028.31,3.57,3290.79,1.12,1.06,-13.42,-12.81,1.17,2.95,2.29
cell 22,1080.94,0.78,686.12,3.40,0.49,-17.20,-9.00,0.94,2.71,1.80
cell 23,2229.45,0.86,1784.50,3.18,0.49,-11.68,-11.80,1.06,2.59,1.89
cell 24,2943.95,0.50,2842.13,2.95,1.50,-15.90,-33.50,1.89,2.58,1.70
cell 25,2576.99,0.74,2618.37,3.15,0.91,-10.57,-33.40,1.85,2.70,1.95
cell 26,1418.11,0.82,1538.54,3.10,0.64,-9.96,-27.47,1.06,2.66,2.00
cell 27,4183.63,0.97,4247.45,3.18,2.87,-4.89,-30.00,1.46,2.67,2.09
cell 28,1065.90,3.07,1515.71,0.67,-0.02,-24.95,-10.72,1.09,2.50,1.66
cell 29,1637.67,3.14,2158.55,0.75,0.48,-17.09,-12.19,1.14,2.57,1.78
cell 30,1650.34,0.69,1172.10,3.10,0.18,-27.55,-10.81,1.21,2.52,1.69
cell 31,3841.92,3.10,4783.22,0.83,1.28,-15.93,-13.33,1.45,2.53,1.84
cell 32,2740.44,0.71,2531.78,3.17,1.07,-9.63,-32.75,1.80,2.69,1.89
cell 33,1985.05,3.10,1865.92,0.77,0.71,-7.92,-35.37,1.31,2.66,1.97
cell 34,1666.28,2.86,1685.73,0.80,0.40,-9.25,-31.48,1.28,2.40,1.82
cell 35,2851.74,0.96,2899.25,3.31,1.44,-9.31,-25.01,1.40,2.79,2.15
cell 36,2457.93,0.85,2021.98,3.15,1.29,-7.64,-25.45,1.15,2.58,1.89
cell 37,714.88,0.52,500.33,2.92,0.21,-23.08,-22.44,0.91,2.43,1.51
cell 38,485.61,3.05,683.27,0.56,-1.06,-1.09,-17.12,1.01,2.54,1.59
cell 39,1842.13,3.48,2112.01,1.07,1.63,-9.62,-12.95,1.05,2.85,2.20
cell 40,4796.59,3.36,4791.37,1.05,3.74,-5.22,-23.13,1.26,2.81,2.21
cell 41,2175.82,3.47,2171.14,1.05,0.57,-18.05,-18.86,1.37,2.91,2.26
cell 42,1396.33,3.42,1952.66,0.88,0.42,-15.55,-8.78,1.16,2.75,1.93
cell 43,5189.84,1.09,4875.03,3.38,3.23,-5.15,-14.15,1.22,2.79,2.20
cell 44,3050.89,3.45,3343.20,1.15,2.24,-4.82,-12.50,1.11,2.84,2.25
cell 45,3232.45,0.96,2625.55,3.26,-0.13,-17.01,-10.75,1.30,2.65,1.99
cell 46,6327.77,3.42,6344.69,1.22,5.77,-5.56,-15.80,1.06,2.84,2.32
cell 47,4665.15,1.10,4357.29,3.42,3.05,-5.44,-23.22,1.10,2.83,2.22
