,Amp1,Lifet1,Amp2,Lifet2,Amp3,Lifet3,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,2014.53,3.26,2247.43,1.24,5608.57,0.06,1.39,-3.83,-26.49,0.93,2.57,0.98
cell 2,2374.55,0.06,1021.95,3.35,833.73,1.31,0.98,1.02,-25.49,0.95,2.78,1.10
cell 3,2146.82,3.53,5508.53,0.09,3075.40,1.49,2.19,-0.76,-26.50,1.09,2.66,1.18
cell 4,3972.97,1.46,3176.73,3.47,18219.18,0.03,2.40,-4.72,-26.49,0.99,2.69,0.68
cell 5,2747.67,0.07,1052.31,1.49,911.18,3.41,0.91,4.29,-24.49,1.00,2.67,1.03
cell 6,3858.66,3.44,2522.77,0.38,4387.41,1.68,2.63,-3.67,-26.79,1.14,2.71,2.00
cell 7,4325.17,0.01,959.57,0.87,1264.65,3.07,0.56,-13.74,-26.50,0.96,2.65,0.73
cell 8,2321.17,1.44,5818.68,0.11,1353.10,3.64,0.33,-16.82,-25.52,1.03,2.56,0.94
cell 9,1252.38,3.38,1016.42,1.28,2336.63,0.06,0.78,-7.80,-29.47,0.96,2.81,1.23
cell 10,1359.64,1.43,10992.20,0.03,1264.26,3.37,0.68,-8.72,-33.50,1.04,2.63,0.48
cell 11,24809.30,0.03,3415.71,3.35,3631.09,1.36,2.73,-3.30,-35.50,1.02,2.64,0.53
cell 12,1119.08,3.71,1382.86,1.41,3035.66,0.13,1.02,-11.81,-10.70,0.95,2.81,1.17
cell 13,827.90,0.83,1426.09,2.19,592.77,3.84,0.59,-4.21,-13.36,0.84,2.65,2.14
cell 14,2202.21,0.06,678.35,1.14,434.47,3.56,0.99,-3.75,-10.49,0.89,2.61,0.74
cell 15,1924.39,1.24,3628.58,0.05,2148.23,3.39,1.15,-6.77,-30.41,0.94,2.81,1.28
cell 16,5642.78,0.17,3416.84,1.46,2257.39,3.61,2.12,-4.98,-13.50,1.06,2.62,1.24
cell 17,2376.83,1.25,1765.16,3.45,5676.08,0.10,3.38,-0.66,-21.50,1.16,2.57,0.98
cell 18,3601.94,3.45,4468.40,1.28,12468.38,0.06,3.80,-4.99,-23.49,1.15,2.66,0.92
cell 19,24689.96,0.01,4101.29,3.51,3935.41,1.37,3.47,-4.37,-31.50,1.13,2.89,0.61
cell 20,2739.50,0.24,2245.06,3.88,3043.70,1.71,2.43,-6.72,-13.51,0.95,2.94,1.82
cell 21,501.20,3.78,1688.23,0.12,805.65,1.33,0.77,-8.45,-10.28,0.81,2.72,1.06
cell 22,2224.61,0.24,1202.54,3.56,1835.60,1.56,0.86,-6.50,-12.51,0.87,2.58,1.46
cell 23,1797.02,1.22,15480.38,0.03,2157.41,3.23,1.85,-7.21,-35.50,1.05,2.63,0.49
cell 24,15005.11,0.02,1949.05,3.45,2048.87,1.38,1.16,-5.27,-35.50,1.14,2.73,0.52
cell 25,3294.99,0.09,1257.06,3.31,1252.58,1.29,0.86,-3.50,-28.50,0.91,2.62,1.05
cell 26,10085.29,0.06,3836.03,1.37,3405.63,3.39,3.51,-0.77,-31.48,1.09,2.67,1.00
cell 27,4050.25,0.05,853.81,3.31,1084.99,1.07,0.68,-8.89,-12.50,0.89,2.53,0.70
cell 28,1168.81,3.51,2285.61,0.21,1615.06,1.39,0.95,-5.79,-12.91,0.90,2.58,1.34
cell 29,990.24,3.27,4506.31,0.04,1229.00,0.99,0.70,-15.27,-12.48,1.02,2.54,0.69
cell 30,2218.29,3.62,3886.81,0.37,3874.26,1.72,1.76,-8.72,-13.69,1.10,2.55,1.62
cell 31,7962.53,0.07,2313.47,1.61,1489.42,3.72,2.53,5.11,-34.50,1.16,2.72,0.83
cell 32,5752.68,0.03,1570.80,1.17,1676.68,3.26,0.65,-5.29,-36.50,1.04,2.67,0.83
cell 33,1488.67,1.14,1363.96,3.02,4634.06,0.03,1.15,0.45,-32.50,1.07,2.43,0.79
cell 34,6347.19,0.07,2108.83,3.63,2649.50,1.54,2.71,-0.77,-26.49,1.05,2.79,1.10
cell 35,572.84,0.61,1631.06,0.00,493.82,2.96,0.67,-12.11,-22.00,1.02,2.50,0.67
cell 36,1620.19,3.38,5983.70,0.08,2114.75,1.26,1.50,-3.42,-26.75,0.90,2.54,0.89
cell 37,1297.03,0.13,137.56,4.68,547.10,1.93,-0.44,-0.19,-18.50,1.02,2.72,0.94
cell 38,2145.79,1.55,7851.22,0.02,1292.99,3.88,1.95,-3.83,-14.50,0.95,2.90,0.75
cell 39,4200.40,1.61,3035.07,0.35,3781.27,3.59,3.83,-2.62,-23.51,1.04,2.80,1.94
cell 40,2083.30,1.55,1621.30,3.79,5887.65,0.05,2.90,-0.08,-20.50,1.12,2.93,1.01
cell 41,1115.24,3.66,1561.44,1.28,4452.84,0.06,1.76,-1.89,-10.50,0.96,2.75,0.89
cell 42,4558.65,1.89,3080.08,0.49,3172.37,3.76,3.65,-2.25,-14.44,1.04,2.81,2.04
cell 43,1996.31,3.84,3033.20,1.90,1972.73,0.45,2.39,-2.29,-12.87,0.99,2.85,2.04
cell 44,2810.36,1.42,3071.74,0.19,2043.56,3.51,0.67,-11.24,-11.51,1.10,2.63,1.48
cell 45,2605.85,4.12,5878.43,2.49,4438.33,0.91,5.78,-0.60,-15.89,0.98,2.87,2.28
cell 46,4083.49,1.75,2703.78,0.44,3202.85,3.71,3.42,-2.76,-23.52,0.95,2.83,2.02
cell 47,,,,,,,,,,,,
