,Amp1,Lifet1,Amp2,Lifet2,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,2320.86,0.80,2227.19,2.96,1.02,-11.20,-25.25,1.32,2.48,1.86
cell 2,1583.80,2.98,1713.78,0.84,0.58,-11.76,-25.90,1.16,2.48,1.87
cell 3,952.83,0.79,1038.58,2.96,0.32,-15.03,-25.25,1.03,2.53,1.92
cell 4,487.61,2.85,561.30,0.44,0.06,-0.40,-32.54,0.84,2.49,1.56
cell 5,1726.16,2.96,1713.76,0.56,1.03,-2.97,-28.92,1.34,2.58,1.76
cell 6,888.95,0.91,1062.33,3.13,0.47,-9.07,-26.38,0.95,2.69,2.12
cell 7,1441.15,0.82,1453.30,2.97,0.70,-8.25,-27.58,1.06,2.51,1.90
cell 8,1020.48,3.09,889.54,0.85,0.25,-14.51,-25.43,1.00,2.65,2.05
cell 9,2091.76,0.78,2024.67,2.92,0.48,-11.41,-27.51,1.25,2.46,1.83
cell 10,775.87,2.92,660.11,0.84,0.39,-8.56,-26.44,0.87,2.51,1.96
cell 11,2900.90,3.18,2988.40,1.01,1.72,-3.60,-30.10,1.13,2.64,2.08
cell 12,2218.34,2.95,2273.32,0.89,0.92,-9.02,-28.14,1.16,2.47,1.91
cell 13,6536.99,0.81,5878.88,2.97,1.69,-10.76,-28.52,1.89,2.46,1.83
cell 14,2599.35,2.99,2680.13,0.86,1.26,-8.18,-28.50,1.28,2.51,1.91
cell 15,1390.16,2.99,1410.04,0.88,0.44,-4.85,-29.20,1.02,2.50,1.93
cell 16,1132.93,0.91,1172.79,3.08,0.11,-13.07,-27.17,1.05,2.59,2.01
cell 17,2088.18,1.00,1829.26,3.09,0.99,-5.29,-28.50,0.98,2.52,1.98
cell 18,1634.44,0.85,1692.03,2.96,0.68,-6.94,-28.83,1.04,2.50,1.92
cell 19,2190.91,2.97,2313.50,0.94,0.90,-11.56,-35.82,1.19,2.46,1.93
cell 20,2806.94,0.86,2586.53,2.99,0.99,-7.81,-37.21,1.20,2.48,1.88
cell 21,1116.29,0.91,1197.61,2.99,0.57,-6.71,-34.84,1.00,2.53,1.98
cell 22,857.97,2.98,845.76,0.82,0.52,-11.96,-25.55,1.01,2.52,1.91
cell 23,510.88,2.65,598.98,0.35,0.24,-0.87,-32.18,1.00,2.34,1.41
cell 24,1294.54,0.68,1127.93,2.79,0.15,-4.00,-30.51,1.04,2.32,1.66
cell 25,469.99,2.70,624.09,0.24,0.14,-0.52,-33.50,0.85,2.44,1.30
cell 26,882.68,2.78,964.09,0.43,0.32,-0.29,-33.53,0.90,2.44,1.55
cell 27,963.57,0.78,969.89,2.94,0.41,-2.83,-29.78,1.04,2.49,1.86
cell 28,1576.04,3.09,1527.36,0.90,0.45,-9.75,-26.91,1.08,2.60,2.01
cell 29,1031.81,0.25,641.14,2.78,0.51,-0.25,-33.51,0.92,2.46,1.22
cell 30,989.16,0.42,812.08,2.81,0.31,-4.83,-28.54,1.10,2.44,1.49
cell 31,1261.31,3.10,1400.23,0.85,0.70,-5.05,-26.50,1.01,2.58,1.92
cell 32,1992.24,0.84,2129.79,3.04,0.89,-14.19,-26.88,1.26,2.59,1.98
cell 33,2156.87,3.08,2317.86,0.78,0.83,-12.37,-26.25,1.26,2.59,1.89
cell 34,1280.90,0.27,890.98,2.76,0.53,-0.28,-33.53,1.00,2.45,1.29
cell 35,1055.22,0.33,754.52,2.77,0.35,-0.36,-32.19,0.97,2.41,1.35
cell 36,426.89,3.02,540.61,0.60,0.10,-0.49,-20.52,0.93,2.53,1.66
cell 37,1981.97,3.26,1850.26,0.97,0.28,-10.98,-16.79,1.15,2.76,2.15
cell 38,438.64,2.86,722.53,0.29,0.48,-0.36,-21.29,0.86,2.49,1.26
cell 39,6109.11,3.12,6700.98,1.05,3.96,-5.70,-28.53,1.31,2.56,2.04
cell 40,5417.46,0.87,4983.15,2.96,2.44,-8.93,-28.52,1.78,2.46,1.87
cell 41,1769.65,3.00,1576.91,0.77,0.56,-11.82,-27.39,1.14,2.58,1.95
cell 42,1208.59,0.74,1201.29,2.88,0.33,-15.34,-25.47,1.23,2.44,1.81
cell 43,2724.74,0.98,2584.85,3.11,1.36,-5.84,-22.42,1.13,2.58,2.02
cell 44,2098.96,2.98,2242.68,0.81,0.56,-12.45,-24.53,1.23,2.49,1.86
cell 45,2735.52,3.01,3023.64,0.91,1.28,-8.34,-26.82,1.09,2.48,1.90
cell 46,1199.79,0.73,1442.79,3.02,0.31,-23.51,-23.43,1.43,2.64,1.98
cell 47,756.68,0.61,741.19,2.99,0.54,-0.20,-30.01,1.08,2.58,1.79
cell 48,1033.32,2.97,1132.37,0.76,0.58,-13.55,-30.25,1.00,2.49,1.81
cell 49,4055.11,3.07,3705.88,0.96,2.12,-13.20,-34.31,1.11,2.61,2.06
cell 50,636.34,0.33,541.08,2.75,0.24,-0.43,-38.50,0.81,2.45,1.44
cell 51,2441.14,0.86,2620.06,3.11,0.83,-11.35,-27.29,1.27,2.65,2.03
cell 52,2789.86,3.24,2799.70,1.00,1.84,-4.92,-27.04,1.20,2.71,2.12
cell 53,2199.25,3.13,2110.18,0.90,0.98,-8.19,-26.94,1.18,2.65,2.04
