,Amp1,Lifet1,Amp2,Lifet2,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,858.42,0.96,1001.64,3.12,0.40,-9.37,-19.99,0.94,2.67,2.12
cell 2,1838.90,0.93,1635.47,3.14,0.40,-10.82,-19.50,1.05,2.59,1.97
cell 3,1753.55,0.88,1789.62,3.07,0.25,-11.14,-29.89,1.16,2.59,1.98
cell 4,3981.26,0.98,3951.57,3.11,2.01,-4.96,-32.98,1.14,2.59,2.04
cell 5,1036.24,3.07,1018.80,0.92,0.32,-10.01,-28.70,0.83,2.58,2.00
cell 6,1539.04,3.07,1727.07,0.91,0.72,-7.92,-27.50,1.07,2.53,1.93
cell 7,1646.03,0.88,1670.14,3.06,0.70,-6.81,-28.89,1.25,2.57,1.97
cell 8,1073.64,0.93,1039.68,2.99,0.24,-9.22,-34.92,0.91,2.49,1.95
cell 9,1992.59,3.02,2173.83,0.92,0.80,-6.10,-36.75,1.12,2.50,1.93
cell 10,605.44,0.74,689.90,2.99,0.47,-9.63,-32.68,0.96,2.58,1.94
cell 11,388.89,0.82,342.11,3.24,0.15,-28.33,-12.81,0.82,2.70,1.95
cell 12,1471.72,3.04,1528.78,0.94,1.04,-5.72,-15.76,0.93,2.53,1.97
cell 13,4639.12,0.75,3418.64,3.11,2.82,-23.08,-29.47,1.95,2.53,1.75
cell 14,3888.65,0.97,3697.11,3.35,3.20,-21.50,-30.13,1.58,2.79,2.13
cell 15,2304.93,3.10,3006.97,0.81,1.29,-11.26,-29.64,1.42,2.52,1.81
cell 16,1582.75,3.03,1515.43,0.85,0.38,-10.58,-25.68,1.10,2.56,1.96
cell 17,3320.27,0.85,2837.03,3.04,1.64,-6.11,-26.91,1.16,2.50,1.86
cell 18,4225.76,1.05,3686.04,3.16,1.56,-7.03,-28.87,1.11,2.58,2.03
cell 19,3502.27,3.18,3621.32,0.94,1.76,-7.52,-26.50,1.49,2.66,2.04
cell 20,969.73,0.91,1014.40,3.12,0.46,-12.34,-25.18,1.08,2.64,2.04
cell 21,1271.63,3.00,1495.25,0.83,0.47,-11.83,-24.40,1.08,2.47,1.83
cell 22,2528.18,0.78,2227.75,2.98,0.76,-8.18,-26.23,1.11,2.47,1.81
cell 23,4713.88,3.09,5878.29,0.94,2.22,-9.34,-17.03,1.37,2.50,1.90
cell 24,1828.04,3.01,2034.49,0.85,0.63,-7.97,-30.83,0.99,2.50,1.88
cell 25,2771.48,0.97,2584.22,3.05,1.47,-4.05,-32.66,1.03,2.52,1.97
cell 26,2107.87,0.82,1815.28,2.99,0.98,-7.57,-28.83,1.16,2.46,1.82
cell 27,550.41,2.91,598.63,0.73,0.46,-8.53,-27.51,0.79,2.44,1.77
cell 28,2950.17,3.05,3536.27,0.79,0.67,-10.90,-21.42,1.29,2.52,1.82
cell 29,3409.81,3.06,3755.80,0.93,1.20,-9.57,-20.93,1.21,2.53,1.94
cell 30,1704.77,3.12,1915.14,0.88,0.33,-12.29,-19.11,1.19,2.58,1.94
cell 31,1551.64,0.74,1408.99,3.00,0.54,-8.42,-21.23,0.97,2.51,1.81
cell 32,1704.22,3.16,1604.35,0.95,0.77,-7.00,-20.26,0.98,2.67,2.09
cell 33,2760.42,1.01,2531.06,3.12,0.77,-7.61,-21.99,1.04,2.57,2.02
cell 34,1624.28,3.17,1708.81,0.98,0.61,-9.08,-20.42,1.08,2.63,2.04
cell 35,2231.35,0.92,2101.37,3.07,0.71,-8.29,-27.63,1.19,2.55,1.96
cell 36,3244.74,0.99,3188.72,3.14,1.35,-6.49,-28.60,1.26,2.62,2.05
cell 37,3428.09,3.03,3479.51,0.85,1.58,-6.57,-29.17,1.24,2.55,1.93
cell 38,2022.38,0.97,2034.58,3.12,0.77,-6.97,-28.52,1.00,2.61,2.05
cell 39,3222.93,3.10,3371.33,1.00,1.45,-7.12,-28.53,1.19,2.57,2.03
cell 40,2641.43,3.13,2832.34,1.01,1.02,-6.07,-28.95,1.09,2.59,2.03
cell 41,2628.66,3.09,2776.76,0.91,1.19,-7.14,-26.15,1.18,2.57,1.97
cell 42,3601.55,0.74,2970.12,2.96,1.05,-9.67,-26.56,1.39,2.45,1.74
cell 43,765.77,3.19,712.47,0.88,-0.09,-18.92,-17.40,0.92,2.72,2.07
cell 44,595.98,3.05,688.78,0.76,0.02,-25.67,-16.18,0.87,2.54,1.82
cell 45,695.38,2.88,754.61,0.63,0.28,-4.23,-20.31,0.79,2.45,1.71
cell 46,416.28,2.93,393.36,0.47,0.25,-6.46,-20.07,0.76,2.61,1.74
cell 47,3045.43,0.90,2438.29,3.06,0.93,-7.03,-19.56,1.05,2.47,1.86
cell 48,2933.53,0.89,2384.60,3.04,0.87,-7.70,-19.70,1.06,2.47,1.85
cell 49,1764.42,0.75,1544.85,2.93,0.28,-12.23,-18.34,1.02,2.44,1.77
cell 50,2109.55,0.85,1966.45,3.00,1.02,-9.42,-25.51,1.17,2.49,1.89
cell 51,2530.95,3.03,2885.42,1.02,1.68,-2.01,-28.80,1.03,2.47,1.96
